fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,0,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v1-compact-ordered,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v2-compact-spectral,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v3-compact-classic,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,0,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v5-compact-refined,0,0,2,243.36,463,84240
mlcm-dense-interchange,mlcm,13,12,v0-original,6,0,4,0,964,107406
mlcm-dense-interchange,mlcm,13,12,v1-compact-ordered,6,0,4,0,1336,187083
mlcm-dense-interchange,mlcm,13,12,v2-compact-spectral,6,0,4,0,1336,187083
mlcm-dense-interchange,mlcm,13,12,v3-compact-classic,6,0,4,0,1336,187083
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,6,0,4,0,964,107406
mlcm-dense-interchange,mlcm,13,12,v5-compact-refined,6,0,4,0,1336,187083
mlcm-diamond-merge,mlcm,11,10,v0-original,0,0,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v1-compact-ordered,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v2-compact-spectral,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v3-compact-classic,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,0,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v5-compact-refined,0,0,1,0,563,115830
mlcm-parallel-runs,mlcm,10,9,v0-original,0,0,0,186.24,601,130221
mlcm-parallel-runs,mlcm,10,9,v1-compact-ordered,0,0,0,186.24,503,122850
mlcm-parallel-runs,mlcm,10,9,v2-compact-spectral,0,0,0,186.24,503,122850
mlcm-parallel-runs,mlcm,10,9,v3-compact-classic,0,0,0,186.24,503,122850
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,0,0,186.24,601,130221
mlcm-parallel-runs,mlcm,10,9,v5-compact-refined,0,0,0,186.24,503,122850
mlcm-trunk-branches,mlcm,17,16,v0-original,0,4,0,0,960,130221
mlcm-trunk-branches,mlcm,17,16,v1-compact-ordered,0,4,0,0,1024,146055
mlcm-trunk-branches,mlcm,17,16,v2-compact-spectral,0,4,0,0,1024,146055
mlcm-trunk-branches,mlcm,17,16,v3-compact-classic,0,4,0,0,1024,146055
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,4,0,0,960,130221
mlcm-trunk-branches,mlcm,17,16,v5-compact-refined,0,4,0,0,1024,146055
metro-bvg,metro,169,180,v0-original,148,24,65,5360.57,28262,1837836
metro-bvg,metro,169,180,v1-compact-ordered,34,38,48,7220.95,17095,2081079
metro-bvg,metro,169,180,v2-compact-spectral,34,38,48,7220.95,17095,2081079
metro-bvg,metro,169,180,v3-compact-classic,148,26,65,5360.57,21899,2081079
metro-bvg,metro,169,180,v4-grid-ordered,34,36,48,7220.95,23657,1837836
metro-bvg,metro,169,180,v5-compact-refined,34,38,48,7220.95,17095,2081079
metro-lisboa,metro,50,52,v0-original,6,4,13,150.22,8313,783432
metro-lisboa,metro,50,52,v1-compact-ordered,3,4,11,150.22,5549,797004
