fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,8,2,576,559,92565
mlcm-crossing-challenge,mlcm,8,8,v1-compact-ordered,0,8,2,576,525,91800
mlcm-crossing-challenge,mlcm,8,8,v2-compact-spectral,0,8,2,576,525,91800
mlcm-crossing-challenge,mlcm,8,8,v3-compact-classic,0,8,2,576,525,91800
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,8,2,576,559,92565
mlcm-crossing-challenge,mlcm,8,8,v5-compact-refined,0,8,2,576,525,91800
mlcm-dense-interchange,mlcm,13,12,v0-original,0,4,4,0,1442,133110
mlcm-dense-interchange,mlcm,13,12,v1-compact-ordered,0,4,4,0,1775,231855
mlcm-dense-interchange,mlcm,13,12,v2-compact-spectral,0,4,4,0,1775,231855
mlcm-dense-interchange,mlcm,13,12,v3-compact-classic,0,4,4,0,1775,231855
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,4,4,0,1442,133110
mlcm-dense-interchange,mlcm,13,12,v5-compact-refined,0,4,4,0,1775,231855
mlcm-diamond-merge,mlcm,11,10,v0-original,0,16,1,0,622,121635
mlcm-diamond-merge,mlcm,11,10,v1-compact-ordered,0,16,1,0,588,126225
mlcm-diamond-merge,mlcm,11,10,v2-compact-spectral,0,16,1,0,588,126225
mlcm-diamond-merge,mlcm,11,10,v3-compact-classic,0,16,1,0,588,126225
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,16,1,0,622,121635
mlcm-diamond-merge,mlcm,11,10,v5-compact-refined,0,16,1,0,588,126225
mlcm-parallel-runs,mlcm,10,9,v0-original,0,15,1,440.82,673,150255
mlcm-parallel-runs,mlcm,10,9,v1-compact-ordered,0,15,1,440.82,601,141750
mlcm-parallel-runs,mlcm,10,9,v2-compact-spectral,0,15,1,440.82,601,141750
mlcm-parallel-runs,mlcm,10,9,v3-compact-classic,0,15,1,440.82,601,141750
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,15,1,440.82,673,150255
mlcm-parallel-runs,mlcm,10,9,v5-compact-refined,0,15,1,440.82,601,141750
mlcm-trunk-branches,mlcm,17,16,v0-original,0,23,0,0,1115,150255
