fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,0,2,36,464,76230
mlcm-crossing-challenge,mlcm,8,8,v1-compact-classic,0,0,2,36,415,75600
mlcm-crossing-challenge,mlcm,8,8,v2-compact-ordered,0,0,2,36,415,75600
mlcm-crossing-challenge,mlcm,8,8,v3-ga-evolved,0,0,2,36,415,75600
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,0,2,36,464,76230
mlcm-dense-interchange,mlcm,13,12,v0-original,0,0,4,0,773,84150
mlcm-dense-interchange,mlcm,13,12,v1-compact-classic,0,0,4,0,1196,146575
mlcm-dense-interchange,mlcm,13,12,v2-compact-ordered,0,0,4,0,1196,146575
mlcm-dense-interchange,mlcm,13,12,v3-ga-evolved,0,0,4,0,1194,146575
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,0,4,0,773,84150
mlcm-diamond-merge,mlcm,11,10,v0-original,0,0,1,0,575,103509
mlcm-diamond-merge,mlcm,11,10,v1-compact-classic,0,0,1,0,545,107415
mlcm-diamond-merge,mlcm,11,10,v2-compact-ordered,0,0,1,0,545,107415
mlcm-diamond-merge,mlcm,11,10,v3-ga-evolved,0,0,1,0,545,107415
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,0,1,0,575,103509
mlcm-parallel-runs,mlcm,10,9,v0-original,0,0,1,27.55,578,107325
mlcm-parallel-runs,mlcm,10,9,v1-compact-classic,0,0,1,27.55,475,101250
mlcm-parallel-runs,mlcm,10,9,v2-compact-ordered,0,0,1,27.55,475,101250
mlcm-parallel-runs,mlcm,10,9,v3-ga-evolved,0,0,1,27.55,475,101250
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,0,1,27.55,578,107325
mlcm-trunk-branches,mlcm,17,16,v0-original,0,2,0,0,937,121158
mlcm-trunk-branches,mlcm,17,16,v1-compact-classic,0,2,0,0,1006,135890
mlcm-trunk-branches,mlcm,17,16,v2-compact-ordered,0,2,0,0,1006,135890
mlcm-trunk-branches,mlcm,17,16,v3-ga-evolved,0,0,0,0,1000,141240
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,2,0,0,937,121158
metro-bvg,metro,169,180,v0-original,145,7,57,3808.24,25347,1292544
metro-bvg,metro,169,180,v1-compact-classic,145,8,57,3808.24,18738,1463616
metro-bvg,metro,169,180,v2-compact-ordered,17,5,31,7483.68,15505,1613535
metro-bvg,metro,169,180,v3-ga-evolved,35,4,49,10838.49,16052,1532223
metro-bvg,metro,169,180,v4-grid-ordered,17,4,31,7483.68,22352,1424940
metro-lisboa,metro,50,52,v0-original,2,3,10,30.9,8022,686340
metro-lisboa,metro,50,52,v1-compact-classic,2,3,10,30.9,5369,698230
metro-lisboa,metro,50,52,v2-compact-ordered,1,3,5,30.9,5324,648843
metro-lisboa,metro,50,52,v3-ga-evolved,0,3,6,30.9,5386,696527
metro-lisboa,metro,50,52,v4-grid-ordered,1,3,5,30.9,7989,637794
metro-montpellier,metro,82,85,v0-original,14,3,18,1669.59,10343,735735
metro-montpellier,metro,82,85,v1-compact-classic,14,3,18,1669.59,5369,635180
metro-montpellier,metro,82,85,v2-compact-ordered,4,1,17,420.95,5096,594696
metro-montpellier,metro,82,85,v3-ga-evolved,11,9,20,594.56,5343,594696
metro-montpellier,metro,82,85,v4-grid-ordered,4,1,17,420.95,10148,688842
metro-nantes,metro,81,80,v0-original,16,1,15,9156.34,9811,800415
metro-nantes,metro,81,80,v1-compact-classic,16,1,15,9156.34,6251,857835
metro-nantes,metro,81,80,v2-compact-ordered,5,1,10,8584.67,6091,895961
metro-nantes,metro,81,80,v3-ga-evolved,9,1,9,10444.03,6256,939286
metro-nantes,metro,81,80,v4-grid-ordered,5,1,10,8584.67,9789,835989
metro-stockholm,metro,99,99,v0-original,9,10,18,179.56,11986,809640
metro-stockholm,metro,99,99,v1-compact-classic,9,8,18,179.56,8030,957555
metro-stockholm,metro,99,99,v2-compact-ordered,1,1,10,2004.92,7902,1077480
metro-stockholm,metro,99,99,v3-ga-evolved,20,5,22,4934.09,8339,1088550
metro-stockholm,metro,99,99,v4-grid-ordered,1,1,10,2004.92,11874,911040
metro-wien,metro,98,104,v0-original,9,10,20,2250.42,13208,826560
metro-wien,metro,98,104,v1-compact-classic,9,8,20,2250.42,6792,755776
metro-wien,metro,98,104,v2-compact-ordered,3,8,9,3540.51,6680,742280
metro-wien,metro,98,104,v3-ga-evolved,14,13,22,3687.51,6977,787829
metro-wien,metro,98,104,v4-grid-ordered,3,10,9,3540.51,13162,811800
airport_luggage,internal,8,7,v0-original,0,0,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-classic,0,0,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-ordered,0,0,0,0,378,126360
airport_luggage,internal,8,7,v3-ga-evolved,0,0,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,0,0,0,630,185328
cicd,internal,8,8,v0-original,0,0,1,0,724,176904
cicd,internal,8,8,v1-compact-classic,0,0,1,0,544,136080
cicd,internal,8,8,v2-compact-ordered,0,0,1,0,544,136080
cicd,internal,8,8,v3-ga-evolved,0,0,1,0,544,136080
cicd,internal,8,8,v4-grid-ordered,0,0,1,0,724,176904
o2c_full,internal,12,13,v0-original,0,0,1,0,1353,244944
o2c_full,internal,12,13,v1-compact-classic,0,0,1,0,814,163296
o2c_full,internal,12,13,v2-compact-ordered,0,0,1,0,814,163296
o2c_full,internal,12,13,v3-ga-evolved,0,0,1,0,814,163296
o2c_full,internal,12,13,v4-grid-ordered,0,0,1,0,1353,244944
hire_to_retire,internal,9,8,v0-original,0,1,0,51.84,722,199584
hire_to_retire,internal,9,8,v1-compact-classic,0,1,0,51.84,487,149688
hire_to_retire,internal,9,8,v2-compact-ordered,0,1,0,51.84,487,149688
hire_to_retire,internal,9,8,v3-ga-evolved,0,1,0,51.84,487,149688
hire_to_retire,internal,9,8,v4-grid-ordered,0,1,0,51.84,722,199584
logistics_ship,internal,9,8,v0-original,0,0,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-classic,0,0,0,0,432,138996
