fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
diamond,internal,4,4,v0-original,0,0,2,288,388,104652
diamond,internal,4,4,v1-ordered,0,0,2,288,388,104652
diamond,internal,4,4,v2-spectral,0,0,2,288,388,104652
diamond,internal,4,4,v3-shuffle,0,0,2,288,388,104652
diamond,internal,4,4,v4-classic-plus,0,0,2,288,388,104652
diamond,internal,4,4,v5-compact,0,0,2,288,357,99144
procurement,internal,6,5,v0-original,0,10,0,0,450,143208
procurement,internal,6,5,v1-ordered,0,10,0,0,450,143208
procurement,internal,6,5,v2-spectral,0,10,0,0,450,143208
procurement,internal,6,5,v3-shuffle,0,10,0,0,450,143208
procurement,internal,6,5,v4-classic-plus,0,10,0,0,450,143208
procurement,internal,6,5,v5-compact,0,10,0,0,270,101088
loan_approval,internal,6,6,v0-original,0,1,2,207.36,568,159732
loan_approval,internal,6,6,v1-ordered,0,1,2,207.36,568,159732
loan_approval,internal,6,6,v2-spectral,0,1,2,207.36,568,159732
loan_approval,internal,6,6,v3-shuffle,0,1,2,207.36,568,159732
loan_approval,internal,6,6,v4-classic-plus,0,1,2,207.36,568,159732
loan_approval,internal,6,6,v5-compact,0,1,2,207.36,465,132192
insurance_claim,internal,6,6,v0-original,0,2,1,243,654,159732
insurance_claim,internal,6,6,v1-ordered,0,2,1,243,654,159732
insurance_claim,internal,6,6,v2-spectral,0,2,1,243,654,159732
insurance_claim,internal,6,6,v3-shuffle,0,2,1,243,654,159732
insurance_claim,internal,6,6,v4-classic-plus,0,2,1,243,654,159732
insurance_claim,internal,6,6,v5-compact,0,2,1,243,465,132192
cicd,internal,8,8,v0-original,0,6,1,0,748,214812
cicd,internal,8,8,v1-ordered,0,6,1,0,748,214812
cicd,internal,8,8,v2-spectral,0,6,1,0,748,214812
cicd,internal,8,8,v3-shuffle,0,6,1,0,748,214812
cicd,internal,8,8,v4-classic-plus,0,6,1,0,748,214812
cicd,internal,8,8,v5-compact,0,6,1,0,573,165240
o2c_full,internal,12,13,v0-original,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v1-ordered,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v2-spectral,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v3-shuffle,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v4-classic-plus,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v5-compact,0,21,3,207.36,849,198288
g.10.11,north,10,14,v0-original,0,1,6,3600,1440,179685
g.10.11,north,10,14,v1-ordered,0,1,6,3600,1440,179685
g.10.11,north,10,14,v2-spectral,0,1,6,3600,1440,179685
g.10.11,north,10,14,v3-shuffle,0,1,6,3600,1440,179685
g.10.11,north,10,14,v4-classic-plus,0,1,6,3600,1440,179685
g.10.11,north,10,14,v5-compact,0,1,6,3600,2402,267300
g.20.3,north,20,20,v0-original,1,11,3,1955.56,1878,221625
g.20.3,north,20,20,v1-ordered,0,13,3,355.56,1839,221625
g.20.3,north,20,20,v2-spectral,0,13,3,355.56,1839,221625
g.20.3,north,20,20,v3-shuffle,2,8,5,622.22,1988,221625
g.20.3,north,20,20,v4-classic-plus,0,13,3,355.56,1839,221625
g.20.3,north,20,20,v5-compact,0,13,3,355.56,1554,219375
g.25.1,north,25,184,v0-original,0,5567,9,1713.89,70148,612720
g.25.1,north,25,184,v1-ordered,0,5474,9,1713.89,70067,612720
g.25.1,north,25,184,v2-spectral,0,5474,9,1713.89,70067,612720
g.25.1,north,25,184,v3-shuffle,0,5471,8,1713.89,70084,612720
g.25.1,north,25,184,v4-classic-plus,0,5474,9,1713.89,70067,612720
g.25.1,north,25,184,v5-compact,0,5474,9,1713.89,62368,599400
g.30.1,north,30,45,v0-original,13,25,11,2305.79,7472,348975
g.30.1,north,30,45,v1-ordered,1,19,9,2335.54,7027,348975
g.30.1,north,30,45,v2-spectral,1,19,9,2335.54,7027,348975
g.30.1,north,30,45,v3-shuffle,14,23,10,2186.78,7512,348975
g.30.1,north,30,45,v4-classic-plus,1,19,9,2335.54,7027,348975
g.30.1,north,30,45,v5-compact,1,19,9,2335.54,7236,414315
