fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,0,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v1-compact-classic,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v2-compact-ordered,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v3-ga-evolved,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v3b-route-aware,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,0,2,243.36,504,84942
mlcm-dense-interchange,mlcm,13,12,v0-original,0,0,4,0,1094,107406
mlcm-dense-interchange,mlcm,13,12,v1-compact-classic,0,0,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v2-compact-ordered,0,0,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v3-ga-evolved,0,0,4,0,1455,187083
mlcm-dense-interchange,mlcm,13,12,v3b-route-aware,0,0,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,0,4,0,1094,107406
mlcm-diamond-merge,mlcm,11,10,v0-original,0,0,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v1-compact-classic,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v2-compact-ordered,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v3-ga-evolved,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v3b-route-aware,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,0,1,0,594,111618
mlcm-parallel-runs,mlcm,10,9,v0-original,0,0,1,186.24,618,130221
mlcm-parallel-runs,mlcm,10,9,v1-compact-classic,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v2-compact-ordered,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v3-ga-evolved,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v3b-route-aware,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,0,1,186.24,618,130221
mlcm-trunk-branches,mlcm,17,16,v0-original,0,4,0,0,1015,130221
mlcm-trunk-branches,mlcm,17,16,v1-compact-classic,0,4,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v2-compact-ordered,0,4,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v3-ga-evolved,0,2,0,0,1050,166920
mlcm-trunk-branches,mlcm,17,16,v3b-route-aware,0,4,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,4,0,0,1015,130221
metro-bvg,metro,169,180,v0-original,173,6,31,2588.07,26396,1465332
metro-bvg,metro,169,180,v1-compact-classic,173,6,31,2588.07,20087,1642948
metro-bvg,metro,169,180,v2-compact-ordered,25,4,18,6339.47,15989,1665592
metro-bvg,metro,169,180,v3-ga-evolved,41,3,28,12581.53,16573,1567468
metro-bvg,metro,169,180,v3b-route-aware,77,5,24,404.5,17330,1554888
metro-bvg,metro,169,180,v4-grid-ordered,25,4,18,6339.47,22390,1485528
metro-lisboa,metro,50,52,v0-original,2,5,7,150.22,8327,848718
metro-lisboa,metro,50,52,v1-compact-classic,2,5,7,150.22,5653,863421
metro-lisboa,metro,50,52,v2-compact-ordered,1,4,1,150.22,5519,797004
metro-lisboa,metro,50,52,v3-ga-evolved,0,4,6,150.22,5690,863421
metro-lisboa,metro,50,52,v3b-route-aware,2,4,3,150.22,5718,863421
metro-lisboa,metro,50,52,v4-grid-ordered,1,4,1,150.22,8145,783432
metro-montpellier,metro,82,85,v0-original,14,12,6,2156.17,11108,945945
metro-montpellier,metro,82,85,v1-compact-classic,14,9,6,2156.17,6472,816660
metro-montpellier,metro,82,85,v2-compact-ordered,4,10,7,326.1,5536,707772
metro-montpellier,metro,82,85,v3-ga-evolved,11,8,9,326.1,6379,762216
metro-montpellier,metro,82,85,v3b-route-aware,12,10,6,1523.43,6389,816660
metro-montpellier,metro,82,85,v4-grid-ordered,4,10,7,326.1,10419,819819
metro-nantes,metro,81,80,v0-original,16,16,9,110.63,9855,814968
metro-nantes,metro,81,80,v1-compact-classic,16,16,9,110.63,6315,873432
metro-nantes,metro,81,80,v2-compact-ordered,5,16,5,110.63,6160,932354
metro-nantes,metro,81,80,v3-ga-evolved,9,16,7,110.63,6314,982611
metro-nantes,metro,81,80,v3b-route-aware,4,16,6,110.63,6179,932354
metro-nantes,metro,81,80,v4-grid-ordered,5,16,5,110.63,9835,869946
metro-stockholm,metro,99,99,v0-original,9,6,10,240.59,12059,868920
metro-stockholm,metro,99,99,v1-compact-classic,9,6,10,240.59,8136,1027665
metro-stockholm,metro,99,99,v2-compact-ordered,1,23,5,954.43,8285,1151280
metro-stockholm,metro,99,99,v3-ga-evolved,20,5,17,240.73,8418,1118070
metro-stockholm,metro,99,99,v3b-route-aware,7,7,10,254.73,8165,1029510
metro-stockholm,metro,99,99,v4-grid-ordered,1,23,5,954.43,12164,973440
metro-wien,metro,98,104,v0-original,9,31,8,1989.4,13750,1007370
metro-wien,metro,98,104,v1-compact-classic,9,31,8,1989.4,7509,921102
metro-wien,metro,98,104,v2-compact-ordered,3,50,5,494.72,7359,921102
metro-wien,metro,98,104,v3-ga-evolved,14,21,8,3978.81,7923,986895
metro-wien,metro,98,104,v3b-route-aware,7,33,6,2515.7,7541,855309
metro-wien,metro,98,104,v4-grid-ordered,3,50,5,494.72,13647,1007370
airport_luggage,internal,8,7,v0-original,0,1,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-classic,0,1,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-ordered,0,1,0,0,378,126360
airport_luggage,internal,8,7,v3-ga-evolved,0,1,0,0,378,126360
airport_luggage,internal,8,7,v3b-route-aware,0,1,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,1,0,0,630,185328
cicd,internal,8,8,v0-original,0,0,1,0,743,197262
cicd,internal,8,8,v1-compact-classic,0,0,1,0,567,151740
cicd,internal,8,8,v2-compact-ordered,0,0,1,0,567,151740
cicd,internal,8,8,v3-ga-evolved,0,0,1,0,567,151740
cicd,internal,8,8,v3b-route-aware,0,0,1,0,567,151740
cicd,internal,8,8,v4-grid-ordered,0,0,1,0,743,197262
o2c_full,internal,12,13,v0-original,0,0,1,0,1367,273132
o2c_full,internal,12,13,v1-compact-classic,0,0,1,0,837,182088
o2c_full,internal,12,13,v2-compact-ordered,0,0,1,0,837,182088
o2c_full,internal,12,13,v3-ga-evolved,0,0,1,0,837,182088
o2c_full,internal,12,13,v3b-route-aware,0,0,1,0,837,182088
o2c_full,internal,12,13,v4-grid-ordered,0,0,1,0,1367,273132
hire_to_retire,internal,9,8,v0-original,0,1,0,350.44,731,222552
hire_to_retire,internal,9,8,v1-compact-classic,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v2-compact-ordered,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v3-ga-evolved,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v3b-route-aware,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v4-grid-ordered,0,1,0,350.44,731,222552
logistics_ship,internal,9,8,v0-original,0,0,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-classic,0,0,0,0,432,138996
logistics_ship,internal,9,8,v2-compact-ordered,0,0,0,0,432,138996
logistics_ship,internal,9,8,v3-ga-evolved,0,0,0,0,432,138996
logistics_ship,internal,9,8,v3b-route-aware,0,0,0,0,432,138996
logistics_ship,internal,9,8,v4-grid-ordered,0,0,0,0,720,206388
