fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,0,2,51.84,467,77319
mlcm-crossing-challenge,mlcm,8,8,v1-compact-ordered,0,0,2,51.84,419,76680
mlcm-crossing-challenge,mlcm,8,8,v2-compact-spectral,0,0,2,51.84,419,76680
mlcm-crossing-challenge,mlcm,8,8,v3-compact-classic,0,0,2,51.84,419,76680
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,0,2,51.84,467,77319
mlcm-crossing-challenge,mlcm,8,8,v5-compact-refined,0,0,2,51.84,419,76680
mlcm-dense-interchange,mlcm,13,12,v0-original,0,0,4,0,789,81702
mlcm-dense-interchange,mlcm,13,12,v1-compact-ordered,0,0,4,0,1208,142311
mlcm-dense-interchange,mlcm,13,12,v2-compact-spectral,0,0,4,0,1208,142311
mlcm-dense-interchange,mlcm,13,12,v3-compact-classic,0,0,4,0,1208,142311
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,0,4,0,789,81702
mlcm-dense-interchange,mlcm,13,12,v5-compact-refined,0,0,4,0,1208,142311
mlcm-diamond-merge,mlcm,11,10,v0-original,0,0,1,0,576,101601
mlcm-diamond-merge,mlcm,11,10,v1-compact-ordered,0,0,1,0,545,105435
mlcm-diamond-merge,mlcm,11,10,v2-compact-spectral,0,0,1,0,545,105435
mlcm-diamond-merge,mlcm,11,10,v3-compact-classic,0,0,1,0,545,105435
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,0,1,0,576,101601
mlcm-diamond-merge,mlcm,11,10,v5-compact-refined,0,0,1,0,545,105435
mlcm-parallel-runs,mlcm,10,9,v0-original,0,0,1,39.67,581,110187
mlcm-parallel-runs,mlcm,10,9,v1-compact-ordered,0,0,1,39.67,481,103950
mlcm-parallel-runs,mlcm,10,9,v2-compact-spectral,0,0,1,39.67,481,103950
mlcm-parallel-runs,mlcm,10,9,v3-compact-classic,0,0,1,39.67,481,103950
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,0,1,39.67,581,110187
mlcm-parallel-runs,mlcm,10,9,v5-compact-refined,0,0,1,39.67,481,103950
mlcm-trunk-branches,mlcm,17,16,v0-original,0,2,0,0,939,115911
mlcm-trunk-branches,mlcm,17,16,v1-compact-ordered,0,2,0,0,1005,130005
mlcm-trunk-branches,mlcm,17,16,v2-compact-spectral,0,2,0,0,1005,130005
mlcm-trunk-branches,mlcm,17,16,v3-compact-classic,0,2,0,0,1005,130005
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,2,0,0,939,115911
mlcm-trunk-branches,mlcm,17,16,v5-compact-refined,0,2,0,0,1005,130005
metro-bvg,metro,169,180,v0-original,145,6,61,4136.69,25961,1377816
metro-bvg,metro,169,180,v1-compact-ordered,17,5,36,8000.27,15665,1679601
metro-bvg,metro,169,180,v2-compact-spectral,17,5,36,8000.27,15665,1679601
metro-bvg,metro,169,180,v3-compact-classic,145,8,61,4136.69,19440,1560174
metro-bvg,metro,169,180,v4-grid-ordered,17,4,36,8000.27,22493,1483284
metro-bvg,metro,169,180,v5-compact-refined,17,5,36,8000.27,15665,1679601
metro-lisboa,metro,50,52,v0-original,2,3,10,32.32,8024,649512
metro-lisboa,metro,50,52,v1-compact-ordered,1,3,7,32.32,5314,606268
metro-lisboa,metro,50,52,v2-compact-spectral,1,3,7,32.32,5314,606268
metro-lisboa,metro,50,52,v3-compact-classic,2,3,10,32.32,5379,660764
metro-lisboa,metro,50,52,v4-grid-ordered,1,3,7,32.32,7975,595944
metro-lisboa,metro,50,52,v5-compact-refined,1,3,7,32.32,5314,606268
metro-montpellier,metro,82,85,v0-original,14,3,16,1540.21,10318,703395
metro-montpellier,metro,82,85,v1-compact-ordered,4,1,17,400.7,5106,568172
metro-montpellier,metro,82,85,v2-compact-spectral,4,1,17,400.7,5106,568172
metro-montpellier,metro,82,85,v3-compact-classic,14,3,16,1540.21,5313,607260
metro-montpellier,metro,82,85,v4-grid-ordered,4,1,17,400.7,10155,658119
metro-montpellier,metro,82,85,v5-compact-refined,4,1,17,400.7,5106,568172
metro-nantes,metro,81,80,v0-original,16,1,19,9358.09,9855,814968
metro-nantes,metro,81,80,v1-compact-ordered,5,1,10,9699.97,6160,932354
metro-nantes,metro,81,80,v2-compact-spectral,5,1,10,9699.97,6160,932354
metro-nantes,metro,81,80,v3-compact-classic,16,1,19,9358.09,6315,873432
metro-nantes,metro,81,80,v4-grid-ordered,5,1,10,9699.97,9835,869946
metro-nantes,metro,81,80,v5-compact-refined,5,1,10,9699.97,6160,932354
metro-stockholm,metro,99,99,v0-original,9,3,18,271.38,12059,868920
metro-stockholm,metro,99,99,v1-compact-ordered,1,3,10,2003.83,7904,1042425
metro-stockholm,metro,99,99,v2-compact-spectral,1,3,10,2003.83,7904,1042425
metro-stockholm,metro,99,99,v3-compact-classic,9,3,18,271.38,8136,1027665
metro-stockholm,metro,99,99,v4-grid-ordered,1,1,10,2003.83,11872,881400
metro-stockholm,metro,99,99,v5-compact-refined,1,3,10,2003.83,7904,1042425
metro-wien,metro,98,104,v0-original,9,10,20,2077.69,13223,804420
metro-wien,metro,98,104,v1-compact-ordered,3,10,9,3312.67,6676,738906
metro-wien,metro,98,104,v2-compact-spectral,3,10,9,3312.67,6676,738906
metro-wien,metro,98,104,v3-compact-classic,9,8,20,2077.69,6805,735532
metro-wien,metro,98,104,v4-grid-ordered,3,12,9,3312.67,13166,808110
metro-wien,metro,98,104,v5-compact-refined,3,10,9,3312.67,6676,738906
airport_luggage,internal,8,7,v0-original,0,0,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-ordered,0,0,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-spectral,0,0,0,0,378,126360
airport_luggage,internal,8,7,v3-compact-classic,0,0,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,0,0,0,630,185328
airport_luggage,internal,8,7,v5-compact-refined,0,0,0,0,378,126360
cicd,internal,8,8,v0-original,0,0,1,0,725,179712
cicd,internal,8,8,v1-compact-ordered,0,0,1,0,546,138240
cicd,internal,8,8,v2-compact-spectral,0,0,1,0,546,138240
cicd,internal,8,8,v3-compact-classic,0,0,1,0,546,138240
cicd,internal,8,8,v4-grid-ordered,0,0,1,0,725,179712
cicd,internal,8,8,v5-compact-refined,0,0,1,0,546,138240
o2c_full,internal,12,13,v0-original,0,0,1,0,1354,248832
o2c_full,internal,12,13,v1-compact-ordered,0,0,1,0,816,165888
o2c_full,internal,12,13,v2-compact-spectral,0,0,1,0,816,165888
o2c_full,internal,12,13,v3-compact-classic,0,0,1,0,816,165888
o2c_full,internal,12,13,v4-grid-ordered,0,0,1,0,1354,248832
o2c_full,internal,12,13,v5-compact-refined,0,0,1,0,816,165888
hire_to_retire,internal,9,8,v0-original,0,1,0,74.65,723,202752
hire_to_retire,internal,9,8,v1-compact-ordered,0,1,0,74.65,488,152064
hire_to_retire,internal,9,8,v2-compact-spectral,0,1,0,74.65,488,152064
hire_to_retire,internal,9,8,v3-compact-classic,0,1,0,74.65,488,152064
hire_to_retire,internal,9,8,v4-grid-ordered,0,1,0,74.65,723,202752
hire_to_retire,internal,9,8,v5-compact-refined,0,1,0,74.65,488,152064
logistics_ship,internal,9,8,v0-original,0,0,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-ordered,0,0,0,0,432,138996
logistics_ship,internal,9,8,v2-compact-spectral,0,0,0,0,432,138996
logistics_ship,internal,9,8,v3-compact-classic,0,0,0,0,432,138996
logistics_ship,internal,9,8,v4-grid-ordered,0,0,0,0,720,206388
logistics_ship,internal,9,8,v5-compact-refined,0,0,0,0,432,138996
healthcare,internal,9,9,v0-original,0,0,0,0,815,202752
healthcare,internal,9,9,v1-compact-ordered,0,0,0,0,600,152064
healthcare,internal,9,9,v2-compact-spectral,0,0,0,0,600,152064
healthcare,internal,9,9,v3-compact-classic,0,0,0,0,600,152064
healthcare,internal,9,9,v4-grid-ordered,0,0,0,0,815,202752
healthcare,internal,9,9,v5-compact-refined,0,0,0,0,600,152064
manufacturing,internal,9,8,v0-original,0,1,0,0,720,206388
manufacturing,internal,9,8,v1-compact-ordered,0,1,0,0,432,138996
manufacturing,internal,9,8,v2-compact-spectral,0,1,0,0,432,138996
manufacturing,internal,9,8,v3-compact-classic,0,1,0,0,432,138996
